Input,Label
"ANE THOTAWATTA, BOGE WESA AMMATA HUKAPAN, KARI PONNAYO!",yes
Mekata pissu,yes
sarath weearsekara hamudapathi una kiyamu. yako pottayekgen upades ganna ekek etakota hamudapathi.,yes
"Mekata pollakin oluwata gahanna please,,",no
Thota kiyak hamba unada mehema kiyanna kiyala.thoth desadrohiyek.,yes
thota panunane 21 bomba thogan anawaki ahana apith modayo yako,yes
Mu gena channel report karamu,no
Oyalata me rata tambi bomba gahuwe keyala kiyanda puluwanda  bomba gahapu un ko keyala tawa kohe kohe hangela innawada keyala alla ganda,no
Meka ane manda yako aiyoooo Pau api meva balanna una ne,no
Pissek me miniha .. 21. Wenida apita ape jiwitha kiyak ahimi unada  eda meka kohe hitiyada kalin danum denna bari unada  gon buruwa...,no
Anee pakoo thawath paw karagena thawa athma 100ta wath me loke balanna nathi karanogena hitapan gota enawa aniwa,yes
pissek bn mu,yes
Ane pottayo ube danne boru kiyann ne aththa kiyane ayate api salekenawa ,yes
Giya aathme karapu paapeta me aathme pottayek ipadhichcha moda moosalaya tho labana aathme ipadenne thoge goo katath nethuwa....,yes
Ane ban me pottaya ranilge thawath eka ponnayek vitharai muta puluwanda anawaki kiyanna mu thama me loke sududa kaluda kiyalawath hariyata danne nathiwa kari pottaya,yes
MUTA MONGAL .,yes
Mun kiyana ewa ahl wada karankota tama waradinne. Athma wishwasaya tiyenawanam one deyk sartaka wenwa ,yes
Muth bannata thxs kiyai lagadima,yes
Muge kata kanna oni,yes
Mewage pakayala hinda thami rata winsa wenne mundennata guu puchchala kawanna one,yes
Ane hukanno ubata puluwanda pakayo anaweki kiyanna pakayao,yes
beri welawath rajapakshek awoth mama enawa umbawa hamba wenna.,yes
"aduma gane molewath thibbnam samawa denna thibba moota,",yes
moota karume thamai padisan deela thiyenne.,yes
Panditha molayak thiyenne  munta Gal badala muhudu pathula bassanna on e kiyana boru walata.,yes
Kawuda ban mu  pissu porawal tikak ne,yes
ammata hukapan kariya,yes
ane buruwo tho okkoma dannawanam Maithree kohatada Karakawanne Kiyala danne ne.....,yes
Ane ponna potta pako..pasku irida gahanawa thota penune nadda pottayo..mama gotata kade yana akek nowe.minissu rawattana pottaya,yes
me mona hukannekda.ban.thamat mewa pliganna thawa modayo lankawe innwada,yes
Meya kiyanne boru.,yes
mun dennama pisso.mewa ahana api eaita wada pisso,yes
Ratama anekuta kan denne ay. Meka mee looke as deken dakala rasawidennawath pina na. Api mee wage andayanata wada buddhimath wemu,no
Muuta pissu,yes
Sindu nam kumari akka.....jethishya nam thota ayya,no
Mun dennage ata deka thiyenawada danne naha ellanna,yes
ponna huththek,yes
Ane palayan ban ynna kade ynwa,no
Me prasna ahana eka gon nambek kiyala therune katada?,yes
me wage gonnungenda rata palanaya karana modayo visadum hoyanne.. thota bombe gahana 1k peune nada,yes
Pissu modyek meka agapura mole muge,yes
Muge amma innawada,yes
Muta pissu,yes
pakayo tho ton pachayek kiyala ratama dannawa..... anagathaya dakina thota labana athmeth pottayek wela inna wennea me boru kiyanawata,yes
Yakadoooo...mu grahayonta wada dannawane...me okkoma hrahayongenda kiyanne....me kariyage muna penakotath mala paninawa,yes
Hane kano tho keyana pattta boru walst ape rawtna kale ewari. Kano toge hadahana balagani,yes
mu hadanne gota dinuwata passe uta credit eka daganna.. mokada gota dinanawa kiyala mu dannawa..,yes
harakek muu,yes
"UMBALAGE ANAWEKI SIYALLA BORUVAK KARAMIN NAGANANDA MAHATHA JAYA GANNAWA,HIRU MEN DASATHA ALIYA KARAWE,PATHTHAKATA WELA HITU,",no
Mu danna paka,yes
Mada pollaa huka potta pakaya,yes
Muge ammata hukana kivillakne kiyawanne.,yes
Potta huttige putha,yes
Thota April 21 bomba gahana yana eka thoge potta asdekata penune nadda,yes
Kauda janadipathi wenne kiyapan potta wathta,yes
Gota ai paka,yes
Me ponnayage boru mu wage pottaintama thamai hoda.,yes
POTTA THOTAWATTE WESI..... MAMA DAKKOTH THOWA KOHEDIHARI...... WATHURA BALADIYAKATA GUUUU  DIYAKARALA THOWA NAWANAWA..... BORUNOKIYA PALA POTTA HUTTA,yes
Yakooo mahindage kalae sudu wan hari kalu wan hari pennala rata goda gattha mun loke nathi kala aye colombo enna bea pathale avilla,no
Mun me hoda jarawak kala gotabeta mada ganne munta pissu bombe gana kiuwe na eka pakayek,yes
Thotawaththa Ane bn .....mkda enne...,no
Thotawaththa okkoma dannawa paasku praharaya danne naaa.. wikalpa balawege gana danne naaa... nikan kade yanawa..paw,yes
Gotabaya Rajapaksha Mahathata athi vishista rajayogayak thienawa.2020 nomination dunnoth athi vishista jayak gannawa.,no
manussayekuta baninna api kotaram boru kiyanawada,no
Aiyo paw Salli. Arinna apa malli.,no
Chapa koo endaaa... Meka thwma mattuwela nÈ...,no
Pissu huthtak,yes
kari pottaya uba arapan snika pu....ke..,yes
meya kola3 suduwa me karagena yanne,no
Who is the lousy joker seated next to you  Indika?,no
To ballek unata madamulane ballo nati bawa danaganin potta rattaran horo,yes
"CHAPA BANDARA, YOU ARE MY HERO.",no
Mekage  ata  nathi  diwa  harena  harena  pathata  wada  gon  pottaya,yes
auruda 12kin basilui thoi walapalle yamalowa,yes
basil kiyanne pal horek moka kohoma kiwat sajit milaga janadi pathi basilge puka hodapan,yes
muge ammage bada gon pakaya,yes
Obe.anawakiya.hari,no
Sathya vlogs ??? ???????? ??? ?????,no
Mokada yako mehema boru kiyanne,yes
Thota molda wesige putho boru kikanne,yes
Mu kiyanne patta boru.,yes
Muta monawa kiyannada machan...,no
Mu..tanikara.pissek,yes
May pakayage at a nathe dewa,yes
giyaparat  ma  wage  mal ponnayak oluwata waditytagannawa kiwwa ko u hoyandat na,yes
Tho balapiyako ranil gona ain karanne kiyala gota,yes
Ithin tho chndeta warako thota kiyak dunnada oya wadeta pala pala kala kanniya,yes
Ane potta gono madamulane balla ewanm thoge ganige ale kanna hitapiya,yes
Mu kage daruwek da halo,yes
Boru.mudallwalata.kadae.yanawa,yes
There are media donkeys in Sri Lanka to get this ass holes to sathya vlogs. Blind fuckers,yes
Chapa ekka kiyapan pottaya langadima kanawa,yes
Pottaya pissu kelinava,yes
Mu boru dan keyanna,yes
Pala abbaya yanna,yes
Akilayi dayasiriyi  ?,no
Thama citizens akawth ne ane gone set eka,yes
chapa hitiyam obe redi galawai mahattayo,yes
palayan boru karaya,yes
Muge boru bn,yes
Supiri bn meka,no
Atha kathawa ayye maru wadak oya wage wada thawa karana aniwarenma,no
Hondha wedastahanak jayawewa,no
Oyaga chanl eak goodk  hodaiu karagan yanna  obata taruwan saranaiy,no
Niyamai aiyee good luck jaya ???? ...,no
Brother please mark my words. Quran is clearly telling to kill disbelievers. Need proof? Read quran 2:191,no
Palaya n ponna yo,yes
Ouithin ubath  edgena pare hitapan,yes
Hutho deviyan kavadada agama 4rk mauve kiyapan ponnaya,yes
Me wage thama ape rata ona aiyye   uya meka hamadama karanna,no
Music ain krhn oiii aprade watinm deyk elm,no
U did great job,no
This man is genuinely innocent and truthful,no
Really good Job ayye. Hats off to you.,no
Ehema habaya arabi endumak nam kota gawmath brithanya endumak,no
Subscribe karanna vatinama channel ekak... ohomama karagena yamu malli...,no
mata nam ekekwath sure ne ban me wena dewal dekkahama,no
Lankawe thiyenne islamic ari isis ari terrorist nemei..ape rate thiyenne unp terrorist..,no
lassana bawudda ratawal islam una mekatath bala karanna hadanne okama thamai,no
good job. Thank you very much.,no
kollo owa mona gobba prashnada ? menna prashna ahapan,no
Muslim ewun †Dar al-Islam wishwasa  karanawada / Dar al-Harb wishwasa karanawada ? Muslim ewunwa maninna puluwan oya prashan deken witharai,no
Me wage midiya krn epa yako,yes
ma varadi karpu akava pana pitin allala vada dila maranda ona ada apa minissu dok vanva ma pau kavadavat makan nh pay ahnsaka meinissu nati una samavanna,no
Nice programme,no
Huge respect sir,no
Supiri ayye mevage video danna,no
Malli uba wada pethi ganai.hadis ganai ahapan.puluwannam muslim kellek badinna ahapan.,no
Aththatama hamoma jathiwadi nemei...meka aththatama deshapalana game.ekak,no
Atthatama Muslim sahodarayo okkoma tastawadiyo newei owunut api wage ahinsaka minissu okkoma anthawadiyo vidiyata mani na epa..,no
pleas study kurgan SAKIYA hiks,no
Thanks bro. Meka godak watinawa apita.,no
Godak hoda program ekak,no
Mu hanga hanga katha karanne therennedda,no
Kotasak karana wadawalta ahinsaka minissu pau kattiyama akwenna samaya wihidawanna,no
Nabiya hodai kiyalada hithanne nabi ge jivitha kathawa kiyawala enna islam agama adahanna kalin,no
Nari nawanna EPA huththo,yes
Ela kolla we support your channel,no
Gon prashna ahanna epa yako,yes
Qur'an eke naha,no
Mewa okkoma thiyenne Mohamed ge hadith collection eke,no
Eke thiyenawada nadda kiyala ahapan,no
Onna machan ubala thama supiri chennal eka ashen vlogs aya ara chan bro un okkoma lejja venna one ubalata ape support eka denama machan hadavathen kiyanne mewa,no
Ekane hemoma hoda minissu inne eth me atara antawadin innawa un tamai allala neti karala danna ona,yes
Aththa thamai ahinsaka Muslim ayeth asaranai,no
Rawatenna epa bn munta.. kapati munla okkoma,yes
Please watch .......!,no
